total 0
dr-x------ 2 root root 122 Feb 11 09:32 .
dr-xr-xr-x 9 root root   0 Feb 11 09:32 ..
lrwx------ 1 root root  64 Feb 11 09:35 143 -> socket:[30609]
lrwx------ 1 root root  64 Feb 11 09:35 144 -> socket:[30610]
lrwx------ 1 root root  64 Feb 11 09:35 15 -> /sys/fs/cgroup/system.slice/systemd-journald.service/memory.pressure
lrwx------ 1 root root  64 Feb 11 09:35 16 -> anon_inode:[timerfd]
lrwx------ 1 root root  64 Feb 11 09:35 18 -> socket:[17671]
lrwx------ 1 root root  64 Feb 11 09:32 19 -> socket:[17247]
l-wx------ 1 root root  64 Feb 11 09:32 2 -> /dev/null
lrwx------ 1 root root  64 Feb 11 09:35 20 -> socket:[17248]
lrwx------ 1 root root  64 Feb 11 09:32 21 -> socket:[17249]
lrwx------ 1 root root  64 Feb 11 09:35 22 -> socket:[12560]
lrwx------ 1 root root  64 Feb 11 09:35 23 -> socket:[20546]
lrwx------ 1 root root  64 Feb 11 09:35 24 -> socket:[17719]
lrwx------ 1 root root  64 Feb 11 09:35 25 -> socket:[18932]
lrwx------ 1 root root  64 Feb 11 09:32 26 -> socket:[26578]
lrwx------ 1 root root  64 Feb 11 09:32 27 -> /var/log/journal/922af4924e3440909f79e1c37c0ec990/user-1000.journal
lrwx------ 1 root root  64 Feb 11 09:35 28 -> socket:[19014]
lrwx------ 1 root root  64 Feb 11 09:35 29 -> socket:[18951]
lrwx------ 1 root root  64 Feb 11 09:32 3 -> socket:[10960]
lrwx------ 1 root root  64 Feb 11 09:35 30 -> socket:[19321]
lrwx------ 1 root root  64 Feb 11 09:35 31 -> socket:[21225]
lrwx------ 1 root root  64 Feb 11 09:35 32 -> socket:[19047]
lrwx------ 1 root root  64 Feb 11 09:35 33 -> socket:[19067]
lrwx------ 1 root root  64 Feb 11 09:35 34 -> socket:[19082]
lrwx------ 1 root root  64 Feb 11 09:35 35 -> socket:[19118]
lrwx------ 1 root root  64 Feb 11 09:35 36 -> socket:[19145]
lrwx------ 1 root root  64 Feb 11 09:35 37 -> socket:[19178]
lrwx------ 1 root root  64 Feb 11 09:35 38 -> socket:[26579]
lrwx------ 1 root root  64 Feb 11 09:35 39 -> socket:[19202]
lrwx------ 1 root root  64 Feb 11 09:32 4 -> socket:[10962]
lrwx------ 1 root root  64 Feb 11 09:35 40 -> socket:[36029]
lrwx------ 1 root root  64 Feb 11 09:35 41 -> socket:[19334]
lrwx------ 1 root root  64 Feb 11 09:35 42 -> socket:[19341]
lrwx------ 1 root root  64 Feb 11 09:35 43 -> socket:[26611]
lrwx------ 1 root root  64 Feb 11 09:33 44 -> socket:[21695]
lrwx------ 1 root root  64 Feb 11 09:35 45 -> socket:[31782]
lrwx------ 1 root root  64 Feb 11 09:35 46 -> socket:[21793]
lrwx------ 1 root root  64 Feb 11 09:35 47 -> socket:[21901]
lrwx------ 1 root root  64 Feb 11 09:35 48 -> socket:[21902]
lrwx------ 1 root root  64 Feb 11 09:35 49 -> socket:[31805]
lrwx------ 1 root root  64 Feb 11 09:35 5 -> socket:[10964]
lrwx------ 1 root root  64 Feb 11 09:35 50 -> socket:[33854]
lrwx------ 1 root root  64 Feb 11 09:35 51 -> socket:[36031]
lrwx------ 1 root root  64 Feb 11 09:35 52 -> socket:[24853]
lrwx------ 1 root root  64 Feb 11 09:32 53 -> /var/log/journal/922af4924e3440909f79e1c37c0ec990/system.journal
lrwx------ 1 root root  64 Feb 11 09:32 54 -> socket:[42186]
lrwx------ 1 root root  64 Feb 11 09:32 55 -> socket:[31824]
lrwx------ 1 root root  64 Feb 11 09:32 56 -> socket:[31905]
lrwx------ 1 root root  64 Feb 11 09:32 57 -> socket:[34065]
lrwx------ 1 root root  64 Feb 11 09:38 58 -> socket:[42187]
l-wx------ 1 root root  64 Feb 11 09:35 6 -> /dev/kmsg
lrwx------ 1 root root  64 Feb 11 09:35 60 -> socket:[23231]
lrwx------ 1 root root  64 Feb 11 09:35 61 -> socket:[23366]
lrwx------ 1 root root  64 Feb 11 09:38 62 -> socket:[42250]
lrwx------ 1 root root  64 Feb 11 09:35 64 -> socket:[28745]
lrwx------ 1 root root  64 Feb 11 09:33 65 -> socket:[24289]
lrwx------ 1 root root  64 Feb 11 09:35 67 -> socket:[24298]
lrwx------ 1 root root  64 Feb 11 09:35 7 -> anon_inode:[eventpoll]
lrwx------ 1 root root  64 Feb 11 09:35 72 -> socket:[30764]
lrwx------ 1 root root  64 Feb 11 09:35 8 -> /dev/kmsg
lrwx------ 1 root root  64 Feb 11 09:35 82 -> socket:[28785]
lrwx------ 1 root root  64 Feb 11 09:35 85 -> socket:[28786]
lrwx------ 1 root root  64 Feb 11 09:35 86 -> socket:[28797]
lrwx------ 1 root root  64 Feb 11 09:35 87 -> socket:[28802]
lrwx------ 1 root root  64 Feb 11 09:35 88 -> socket:[28831]
lrwx------ 1 root root  64 Feb 11 09:35 89 -> socket:[28122]
lrwx------ 1 root root  64 Feb 11 09:32 9 -> socket:[9808]
lrwx------ 1 root root  64 Feb 11 09:35 90 -> socket:[28123]
lrwx------ 1 root root  64 Feb 11 09:35 91 -> socket:[28135]
lrwx------ 1 root root  64 Feb 11 09:35 92 -> socket:[28144]
lrwx------ 1 root root  64 Feb 11 09:35 93 -> socket:[28209]
lrwx------ 1 root root  64 Feb 11 09:35 94 -> socket:[28324]
lrwx------ 1 root root  64 Feb 11 09:35 95 -> socket:[28248]
lrwx------ 1 root root  64 Feb 11 09:35 96 -> socket:[28265]
lrwx------ 1 root root  64 Feb 11 09:35 97 -> socket:[28262]
lrwx------ 1 root root  64 Feb 11 09:35 98 -> socket:[30576]
lrwx------ 1 root root  64 Feb 11 09:35 99 -> socket:[29500]
