total 0
dr-x------ 2 administrator administrator 134 Feb 11 09:34 .
dr-xr-xr-x 9 administrator administrator   0 Feb 11 09:34 ..
lrwx------ 1 administrator administrator  64 Feb 11 09:34 73 -> anon_inode:[pidfd]
lrwx------ 1 administrator administrator  64 Feb 11 09:35 74 -> anon_inode:[pidfd]
lrwx------ 1 administrator administrator  64 Feb 11 09:34 75 -> anon_inode:[pidfd]
lrwx------ 1 administrator administrator  64 Feb 11 09:35 76 -> anon_inode:[pidfd]
lrwx------ 1 administrator administrator  64 Feb 11 09:35 77 -> anon_inode:[pidfd]
lrwx------ 1 administrator administrator  64 Feb 11 09:35 78 -> anon_inode:[pidfd]
lrwx------ 1 administrator administrator  64 Feb 11 09:34 79 -> anon_inode:[pidfd]
lrwx------ 1 administrator administrator  64 Feb 11 09:35 8 -> anon_inode:[timerfd]
lrwx------ 1 administrator administrator  64 Feb 11 09:35 80 -> anon_inode:[pidfd]
lrwx------ 1 administrator administrator  64 Feb 11 09:35 81 -> anon_inode:[pidfd]
lrwx------ 1 administrator administrator  64 Feb 11 09:35 82 -> anon_inode:[pidfd]
lrwx------ 1 administrator administrator  64 Feb 11 09:34 83 -> anon_inode:[pidfd]
lrwx------ 1 administrator administrator  64 Feb 11 09:35 84 -> anon_inode:[pidfd]
lrwx------ 1 administrator administrator  64 Feb 11 09:35 85 -> anon_inode:[pidfd]
lrwx------ 1 administrator administrator  64 Feb 11 09:35 86 -> anon_inode:[pidfd]
lrwx------ 1 administrator administrator  64 Feb 11 09:35 87 -> anon_inode:[pidfd]
lrwx------ 1 administrator administrator  64 Feb 11 09:35 88 -> anon_inode:[pidfd]
lrwx------ 1 administrator administrator  64 Feb 11 09:35 89 -> anon_inode:[pidfd]
l--------- 1 administrator administrator  64 Feb 11 09:34 9 -> /usr/lib/systemd/systemd-executor
lrwx------ 1 administrator administrator  64 Feb 11 09:35 90 -> anon_inode:[pidfd]
lrwx------ 1 administrator administrator  64 Feb 11 09:35 91 -> anon_inode:[pidfd]
lrwx------ 1 administrator administrator  64 Feb 11 09:35 92 -> anon_inode:[pidfd]
lrwx------ 1 administrator administrator  64 Feb 11 09:35 93 -> anon_inode:[pidfd]
lrwx------ 1 administrator administrator  64 Feb 11 09:35 94 -> anon_inode:[pidfd]
lrwx------ 1 administrator administrator  64 Feb 11 09:35 95 -> anon_inode:[pidfd]
lrwx------ 1 administrator administrator  64 Feb 11 09:35 96 -> anon_inode:[pidfd]
lrwx------ 1 administrator administrator  64 Feb 11 09:35 97 -> anon_inode:[pidfd]
lrwx------ 1 administrator administrator  64 Feb 11 09:35 98 -> anon_inode:[pidfd]
lrwx------ 1 administrator administrator  64 Feb 11 09:35 99 -> anon_inode:[pidfd]
